Filename	all_missing_attributes	all_missing_objects	all_missing_triplets	all_wrong_values	missing_attribute_with_name_action	missing_attribute_with_name_color	missing_attribute_with_name_count	missing_attribute_with_name_facial expression	missing_attribute_with_name_hairstyle	missing_attribute_with_name_pattern	missing_attribute_with_name_state	missing_obj_with_tag_animal	missing_obj_with_tag_background	missing_obj_with_tag_clothing	missing_obj_with_tag_environment	missing_obj_with_tag_group	missing_obj_with_tag_item	missing_obj_with_tag_person	missing_triplet_with_predicate_catching	missing_triplet_with_predicate_chasing	missing_triplet_with_predicate_climbing	missing_triplet_with_predicate_falling into	missing_triplet_with_predicate_following	missing_triplet_with_predicate_has child object	missing_triplet_with_predicate_has parent object	missing_triplet_with_predicate_holding	missing_triplet_with_predicate_jumping from	missing_triplet_with_predicate_playing with	missing_triplet_with_predicate_reading	missing_triplet_with_predicate_running away from	missing_triplet_with_predicate_sitting on	missing_triplet_with_predicate_sitting under	missing_triplet_with_predicate_swimming in	missing_triplet_with_predicate_throwing	missing_triplet_with_predicate_watching	missing_triplet_with_predicate_wearing	wrong_value_of_attribute_action	wrong_value_of_attribute_color	wrong_value_of_attribute_count	wrong_value_of_attribute_facial expression	wrong_value_of_attribute_hairstyle	wrong_value_of_attribute_pattern	wrong_value_of_attribute_state
P17	81	167	217	4	7,5	58	10	1	2	2	0,5	56	9	36	14	25	36	25	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	4	0	0	0	0
P10	80,5	146	215	0	6	59	10	1	2	2	0,5	40	10	36	14	30	36	20	4	2	2	5	10	70	70	2	2	6	0	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N23	79,5	131	215	0	6	58	10	1	2	2	0,5	28	5	36	14	17	33	20	4	0	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N11	79	132	215	0	5,5	59	10	0,5	2	2	0	28	6	36	13	17	39	16	4	0	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N29	75,5	101,5	217	0,3	5,5	56,5	8,5	0,5	2	2	0,5	32	5	30	10,5	24,5	18	11	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0,3	0	0	0	0	0
N22	79,5	138	217	4	6	58	10	1	2	2	0,5	36	7	36	11	25	30	25	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	4	0	0	0	0
N8	82	144	212	0,7	7,5	59	10	1	2	2	0,5	40	14	36	15	30	30	20	4	2	2	0	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0,7	0	0	0	0	0	0
P1	82	188	217	0	7,5	59	10	1	2	2	0,5	52	14	36	15	30	42	40	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P7	76,5	126,5	217	2	5,5	56,5	10	0,5	2	2	0	18,5	13	36	14	21	39	16	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	2	0	0	0	0
N13	82,5	151	210	0	6	61	10	1	2	2	0,5	32	11	36	16	21	42	25	4	0	2	0	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N19	78	127	217	0	5,5	58	10	0,5	2	2	0	36	6	36	12	21	27	16	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P23	78	141	210	0	5,5	58	10	0,5	2	2	0	44	10	31	14	20	36	16	4	0	2	0	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P25	82	188	217	0	7,5	59	10	1	2	2	0,5	48	14	36	16	26	45	40	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N21	77,5	109	213	4	5,5	57	10	0,5	2	2	0,5	32	5	30	10	16	21	16	4	2	2	5	10	70	70	2	2	6	0	2	8	2	2	2	2	22	0	0	4	0	0	0	0
N14	80	114	204	4	4,5	61	10	0,5	2	2	0	32	6	30	15	16	27	10	4	0	0	0	10	68	70	2	2	6	0	2	8	2	2	2	2	24	0	0	4	0	0	0	0
N26	79	134	215	2	5,5	59	10	0,5	2	2	0	36	9	36	13	25	33	16	4	2	2	5	10	70	70	2	2	6	2	2	8	0	2	2	2	24	0	0	2	0	0	0	0
P13	79,5	152	215	0	5,5	59	10	0,5	2	2	0,5	44	13	36	14	25	39	16	4	2	2	5	10	70	70	2	2	6	0	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N7	80	152,5	217	0	5	60	10	0,5	2	2	0,5	52	12	28	17	25	30	25,5	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P21	78,5	112	217	0	5,5	58	10	0,5	2	2	0,5	32	5	36	14	17	24	6	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P12	77	142	211	2	5	57	10	0,5	2	2	0,5	40	11,5	36	11,5	25	36	15,5	4	0	0	5	10	70	70	2	2	6	0	2	8	2	2	2	2	24	0	0	2	0	0	0	0
P15	84	163	217	0	7,5	61	10	1	2	2	0,5	32	8	36	18	22	42	35	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N16	77,5	136,5	211	0	6	57,5	8,5	1	2	2	0,5	36	11	36	11,5	28,5	33	20	4	0	2	5	10	70	70	2	0	6	2	2	6	2	2	2	2	24	0	0	0	0	0	0	0
P16	79,5	151	217	0	5,5	59	10	0,5	2	2	0,5	44	11	36	15	25	30	26	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
